STN_ID,latitude,longitude,altitude,VI004_row,VI004_col,VI005_row,VI005_col,VI006_row,VI006_col,VI008_row,VI008_col,NR013_row,NR013_col,NR016_row,NR016_col,SW038_row,SW038_col,WV063_row,WV063_col,WV069_row,WV069_col,WV073_row,WV073_col,IR087_row,IR087_col,IR096_row,IR096_col,IR105_row,IR105_col,IR112_row,IR112_col,IR123_row,IR123_col,IR133_row,IR133_col
184,33.51411,126.52969,20.79,1387.05,948.048,1387.05,948.048,2774.601,1896.595,1387.05,948.048,693.275,473.774,693.275,473.774,693.275,473.774,693.275,473.774,693.275,473.774,693.275,473.774,693.275,473.774,693.275,473.774,693.275,473.774,693.275,473.774,693.275,473.774,693.275,473.774
185,33.29382,126.16283,71.39,1411.308,914.473,1411.308,914.473,2823.115,1829.446,1411.308,914.473,705.404,456.986,705.404,456.986,705.404,456.986,705.404,456.986,705.404,456.986,705.404,456.986,705.404,456.986,705.404,456.986,705.404,456.986,705.404,456.986,705.404,456.986,705.404,456.986
188,33.38677,126.8802,20.34,1400.703,980.325,1400.703,980.325,2801.905,1961.15,1400.703,980.325,700.101,489.912,700.101,489.912,700.101,489.912,700.101,489.912,700.101,489.912,700.101,489.912,700.101,489.912,700.101,489.912,700.101,489.912,700.101,489.912,700.101,489.912,700.101,489.912
189,33.24616,126.5653,51.86,1416.358,951.518,1416.358,951.518,2833.217,1903.537,1416.358,951.518,707.929,475.509,707.929,475.509,707.929,475.509,707.929,475.509,707.929,475.509,707.929,475.509,707.929,475.509,707.929,475.509,707.929,475.509,707.929,475.509,707.929,475.509,707.929,475.509
192,35.16378,128.04004,29.35,1204.847,1081.869,1204.847,1081.869,2410.193,2164.238,1204.847,1081.869,602.173,540.685,602.173,540.685,602.173,540.685,602.173,540.685,602.173,540.685,602.173,540.685,602.173,540.685,602.173,540.685,602.173,540.685,602.173,540.685,602.173,540.685,602.173,540.685
201,37.70739,126.44634,47.84,931.042,937.866,931.042,937.866,1862.583,1876.232,931.042,937.866,465.271,468.683,465.271,468.683,465.271,468.683,465.271,468.683,465.271,468.683,465.271,468.683,465.271,468.683,465.271,468.683,465.271,468.683,465.271,468.683,465.271,468.683,465.271,468.683
202,37.48863,127.49446,47.26,953.619,1028.393,953.619,1028.393,1907.738,2057.287,953.619,1028.393,476.56,513.947,476.56,513.947,476.56,513.947,476.56,513.947,476.56,513.947,476.56,513.947,476.56,513.947,476.56,513.947,476.56,513.947,476.56,513.947,476.56,513.947,476.56,513.947
203,37.26399,127.48421,80.09,977.953,1027.96,977.953,1027.96,1956.406,2056.421,977.953,1027.96,488.727,513.73,488.727,513.73,488.727,513.73,488.727,513.73,488.727,513.73,488.727,513.73,488.727,513.73,488.727,513.73,488.727,513.73,488.727,513.73,488.727,513.73,488.727,513.73
211,38.05991,128.16811,202.0,890.513,1084.809,890.513,1084.809,1781.526,2170.117,890.513,1084.809,445.007,542.154,445.007,542.154,445.007,542.154,445.007,542.154,445.007,542.154,445.007,542.154,445.007,542.154,445.007,542.154,445.007,542.154,445.007,542.154,445.007,542.154,445.007,542.154
212,37.6836,127.88043,140.2,931.824,1061.181,931.824,1061.181,1864.147,2122.863,931.824,1061.181,465.662,530.341,465.662,530.341,465.662,530.341,465.662,530.341,465.662,530.341,465.662,530.341,465.662,530.341,465.662,530.341,465.662,530.341,465.662,530.341,465.662,530.341,465.662,530.341
216,37.17038,128.98929,714.45,984.446,1158.56,984.446,1158.56,1969.391,2317.621,984.446,1158.56,491.973,579.03,491.973,579.03,491.973,579.03,491.973,579.03,491.973,579.03,491.973,579.03,491.973,579.03,491.973,579.03,491.973,579.03,491.973,579.03,491.973,579.03,491.973,579.03
217,37.38071,128.67312,312.0,962.65,1130.411,962.65,1130.411,1925.8,2261.321,962.65,1130.411,481.075,564.955,481.075,564.955,481.075,564.955,481.075,564.955,481.075,564.955,481.075,564.955,481.075,564.955,481.075,564.955,481.075,564.955,481.075,564.955,481.075,564.955,481.075,564.955
221,37.15928,128.19433,264.62,987.878,1089.72,987.878,1089.72,1976.256,2179.94,987.878,1089.72,493.689,544.61,493.689,544.61,493.689,544.61,493.689,544.61,493.689,544.61,493.689,544.61,493.689,544.61,493.689,544.61,493.689,544.61,493.689,544.61,493.689,544.61,493.689,544.61
226,36.48761,127.73415,171.31,1061.653,1051.413,1061.653,1051.413,2123.807,2103.325,1061.653,1051.413,530.577,525.456,530.577,525.456,530.577,525.456,530.577,525.456,530.577,525.456,530.577,525.456,530.577,525.456,530.577,525.456,530.577,525.456,530.577,525.456,530.577,525.456,530.577,525.456
232,36.76217,127.29282,84.78,1032.61,1012.275,1032.61,1012.275,2065.72,2025.05,1032.61,1012.275,516.055,505.887,516.055,505.887,516.055,505.887,516.055,505.887,516.055,505.887,516.055,505.887,516.055,505.887,516.055,505.887,516.055,505.887,516.055,505.887,516.055,505.887,516.055,505.887
235,36.32724,126.55744,9.98,1080.531,948.457,1080.531,948.457,2161.562,1897.413,1080.531,948.457,540.015,473.978,540.015,473.978,540.015,473.978,540.015,473.978,540.015,473.978,540.015,473.978,540.015,473.978,540.015,473.978,540.015,473.978,540.015,473.978,540.015,473.978,540.015,473.978
236,36.27242,126.92079,13.42,1086.186,980.435,1086.186,980.435,2172.872,1961.37,1086.186,980.435,542.843,489.967,542.843,489.967,542.843,489.967,542.843,489.967,542.843,489.967,542.843,489.967,542.843,489.967,542.843,489.967,542.843,489.967,542.843,489.967,542.843,489.967,542.843,489.967
238,36.10563,127.48175,170.17,1103.552,1030.072,1103.552,1030.072,2207.605,2060.645,1103.552,1030.072,551.526,514.786,551.526,514.786,551.526,514.786,551.526,514.786,551.526,514.786,551.526,514.786,551.526,514.786,551.526,514.786,551.526,514.786,551.526,514.786,551.526,514.786,551.526,514.786
239,36.48522,127.24438,89.5,1062.711,1008.517,1062.711,1008.517,2125.921,2017.533,1062.711,1008.517,531.105,504.008,531.105,504.008,531.105,504.008,531.105,504.008,531.105,504.008,531.105,504.008,531.105,504.008,531.105,504.008,531.105,504.008,531.105,504.008,531.105,504.008,531.105,504.008
243,35.72961,126.71657,12.2,1145.331,963.013,1145.331,963.013,2291.162,1926.526,1145.331,963.013,572.416,481.256,572.416,481.256,572.416,481.256,572.416,481.256,572.416,481.256,572.416,481.256,572.416,481.256,572.416,481.256,572.416,481.256,572.416,481.256,572.416,481.256,572.416,481.256
244,35.61203,127.28556,247.04,1157.482,1013.647,1157.482,1013.647,2315.465,2027.794,1157.482,1013.647,578.491,506.573,578.491,506.573,578.491,506.573,578.491,506.573,578.491,506.573,578.491,506.573,578.491,506.573,578.491,506.573,578.491,506.573,578.491,506.573,578.491,506.573,578.491,506.573
245,35.56333,126.83904,68.7,1163.304,974.057,1163.304,974.057,2327.108,1948.614,1163.304,974.057,581.402,486.778,581.402,486.778,581.402,486.778,581.402,486.778,581.402,486.778,581.402,486.778,581.402,486.778,581.402,486.778,581.402,486.778,581.402,486.778,581.402,486.778,581.402,486.778
247,35.4213,127.39652,133.49,1178.059,1023.86,1178.059,1023.86,2356.618,2048.22,1178.059,1023.86,588.78,511.68,588.78,511.68,588.78,511.68,588.78,511.68,588.78,511.68,588.78,511.68,588.78,511.68,588.78,511.68,588.78,511.68,588.78,511.68,588.78,511.68,588.78,511.68
248,35.65696,127.52031,406.87,1152.233,1034.396,1152.233,1034.396,2304.965,2069.291,1152.233,1034.396,575.866,516.948,575.866,516.948,575.866,516.948,575.866,516.948,575.866,516.948,575.866,516.948,575.866,516.948,575.866,516.948,575.866,516.948,575.866,516.948,575.866,516.948,575.866,516.948
252,35.28366,126.47784,37.2,1193.994,942.143,1193.994,942.143,2388.488,1884.786,1193.994,942.143,596.747,470.821,596.747,470.821,596.747,470.821,596.747,470.821,596.747,470.821,596.747,470.821,596.747,470.821,596.747,470.821,596.747,470.821,596.747,470.821,596.747,470.821,596.747,470.821
253,35.22981,128.89075,54.59,1195.321,1157.631,1195.321,1157.631,2391.143,2315.761,1195.321,1157.631,597.411,578.565,597.411,578.565,597.411,578.565,597.411,578.565,597.411,578.565,597.411,578.565,597.411,578.565,597.411,578.565,597.411,578.565,597.411,578.565,597.411,578.565,597.411,578.565
254,35.37131,127.1286,129.38,1183.874,1000.08,1183.874,1000.08,2368.248,2000.66,1183.874,1000.08,591.687,499.79,591.687,499.79,591.687,499.79,591.687,499.79,591.687,499.79,591.687,499.79,591.687,499.79,591.687,499.79,591.687,499.79,591.687,499.79,591.687,499.79,591.687,499.79
255,35.22655,128.6726,50.95,1196.353,1138.17,1196.353,1138.17,2393.206,2276.84,1196.353,1138.17,597.926,568.835,597.926,568.835,597.926,568.835,597.926,568.835,597.926,568.835,597.926,568.835,597.926,568.835,597.926,568.835,597.926,568.835,597.926,568.835,597.926,568.835,597.926,568.835
257,35.30737,129.02009,6.29,1186.459,1168.856,1186.459,1168.856,2373.419,2338.213,1186.459,1168.856,592.98,584.178,592.98,584.178,592.98,584.178,592.98,584.178,592.98,584.178,592.98,584.178,592.98,584.178,592.98,584.178,592.98,584.178,592.98,584.178,592.98,584.178,592.98,584.178
258,34.76335,127.21226,1.41,1249.965,1008.538,1249.965,1008.538,2500.43,2017.576,1249.965,1008.538,624.733,504.019,624.733,504.019,624.733,504.019,624.733,504.019,624.733,504.019,624.733,504.019,624.733,504.019,624.733,504.019,624.733,504.019,624.733,504.019,624.733,504.019,624.733,504.019
259,34.64457,126.78408,16.19,1263.394,970.153,1263.394,970.153,2527.287,1940.806,1263.394,970.153,631.447,484.827,631.447,484.827,631.447,484.827,631.447,484.827,631.447,484.827,631.447,484.827,631.447,484.827,631.447,484.827,631.447,484.827,631.447,484.827,631.447,484.827,631.447,484.827
260,34.68886,126.91951,43.99,1258.435,982.301,1258.435,982.301,2517.37,1965.102,1258.435,982.301,628.968,490.9,628.968,490.9,628.968,490.9,628.968,490.9,628.968,490.9,628.968,490.9,628.968,490.9,628.968,490.9,628.968,490.9,628.968,490.9,628.968,490.9,628.968,490.9
261,34.55375,126.56907,16.36,1273.461,950.85,1273.461,950.85,2547.422,1902.199,1273.461,950.85,636.48,475.175,636.48,475.175,636.48,475.175,636.48,475.175,636.48,475.175,636.48,475.175,636.48,475.175,636.48,475.175,636.48,475.175,636.48,475.175,636.48,475.175,636.48,475.175
262,34.61826,127.27572,51.91,1265.692,1014.497,1265.692,1014.497,2531.884,2029.495,1265.692,1014.497,632.596,506.999,632.596,506.999,632.596,506.999,632.596,506.999,632.596,506.999,632.596,506.999,632.596,506.999,632.596,506.999,632.596,506.999,632.596,506.999,632.596,506.999,632.596,506.999
263,35.32258,128.28812,14.1,1186.969,1103.547,1186.969,1103.547,2374.439,2207.593,1186.969,1103.547,593.235,551.523,593.235,551.523,593.235,551.523,593.235,551.523,593.235,551.523,593.235,551.523,593.235,551.523,593.235,551.523,593.235,551.523,593.235,551.523,593.235,551.523,593.235,551.523
264,35.51138,127.74538,152.07,1167.653,1054.708,1167.653,1054.708,2335.806,2109.916,1167.653,1054.708,583.576,527.104,583.576,527.104,583.576,527.104,583.576,527.104,583.576,527.104,583.576,527.104,583.576,527.104,583.576,527.104,583.576,527.104,583.576,527.104,583.576,527.104,583.576,527.104
266,34.9434,127.6914,88.21,1229.568,1051.215,1229.568,1051.215,2459.637,2102.929,1229.568,1051.215,614.534,525.357,614.534,525.357,614.534,525.357,614.534,525.357,614.534,525.357,614.534,525.357,614.534,525.357,614.534,525.357,614.534,525.357,614.534,525.357,614.534,525.357,614.534,525.357
268,34.47296,126.25846,9.82,1282.418,922.851,1282.418,922.851,2565.336,1846.201,1282.418,922.851,640.959,461.175,640.959,461.175,640.959,461.175,640.959,461.175,640.959,461.175,640.959,461.175,640.959,461.175,640.959,461.175,640.959,461.175,640.959,461.175,640.959,461.175,640.959,461.175
271,36.94361,128.91449,324.67,1009.238,1152.975,1009.238,1152.975,2018.977,2306.45,1009.238,1152.975,504.369,576.238,504.369,576.238,504.369,576.238,504.369,576.238,504.369,576.238,504.369,576.238,504.369,576.238,504.369,576.238,504.369,576.238,504.369,576.238,504.369,576.238,504.369,576.238
272,36.87183,128.51687,211.32,1018.187,1118.651,1018.187,1118.651,2036.875,2237.801,1018.187,1118.651,508.844,559.075,508.844,559.075,508.844,559.075,508.844,559.075,508.844,559.075,508.844,559.075,508.844,559.075,508.844,559.075,508.844,559.075,508.844,559.075,508.844,559.075,508.844,559.075
273,36.62727,128.14879,173.01,1045.628,1087.321,1045.628,1087.321,2091.756,2175.142,1045.628,1087.321,522.564,543.41,522.564,543.41,522.564,543.41,522.564,543.41,522.564,543.41,522.564,543.41,522.564,543.41,522.564,543.41,522.564,543.41,522.564,543.41,522.564,543.41,522.564,543.41
276,36.4351,129.04005,208.65,1063.936,1165.983,1063.936,1165.983,2128.372,2332.467,1063.936,1165.983,531.718,582.742,531.718,582.742,531.718,582.742,531.718,582.742,531.718,582.742,531.718,582.742,531.718,582.742,531.718,582.742,531.718,582.742,531.718,582.742,531.718,582.742,531.718,582.742
277,36.53337,129.40926,40.71,1051.98,1197.875,1051.98,1197.875,2104.46,2396.25,1051.98,1197.875,525.74,598.688,525.74,598.688,525.74,598.688,525.74,598.688,525.74,598.688,525.74,598.688,525.74,598.688,525.74,598.688,525.74,598.688,525.74,598.688,525.74,598.688,525.74,598.688
278,36.3561,128.68864,81.44,1073.606,1135.48,1073.606,1135.48,2147.712,2271.46,1073.606,1135.48,536.553,567.49,536.553,567.49,536.553,567.49,536.553,567.49,536.553,567.49,536.553,567.49,536.553,567.49,536.553,567.49,536.553,567.49,536.553,567.49,536.553,567.49,536.553,567.49
279,36.13055,128.32055,49.17,1099.092,1103.892,1099.092,1103.892,2198.684,2208.285,1099.092,1103.892,549.296,551.696,549.296,551.696,549.296,551.696,549.296,551.696,549.296,551.696,549.296,551.696,549.296,551.696,549.296,551.696,549.296,551.696,549.296,551.696,549.296,551.696,549.296,551.696
281,35.97742,128.9514,96.12,1113.883,1160.048,1113.883,1160.048,2228.266,2320.595,1113.883,1160.048,556.692,579.774,556.692,579.774,556.692,579.774,556.692,579.774,556.692,579.774,556.692,579.774,556.692,579.774,556.692,579.774,556.692,579.774,556.692,579.774,556.692,579.774,556.692,579.774
283,35.81747,129.20123,40.13,1130.401,1182.786,1130.401,1182.786,2261.303,2366.072,1130.401,1182.786,564.951,591.143,564.951,591.143,564.951,591.143,564.951,591.143,564.951,591.143,564.951,591.143,564.951,591.143,564.951,591.143,564.951,591.143,564.951,591.143,564.951,591.143,564.951,591.143
